num_examples,ub,presolve,problem_nodes,embedding_nodes_avg,embedding_nodes_var,time_avg,time_var
2,3,True,8,8.4,0.8,0.23085,0.0537
2,3,False,4,4.0,0.0,0.20348,0.04755
2,7,True,12,16.9,0.53852,0.28105,0.05567
2,7,False,6,8.0,0.0,0.2418,0.05576
2,15,True,16,27.9,1.57797,0.39828,0.06992
2,15,False,8,12.4,1.2,0.28019,0.07988
2,31,True,20,40.5,2.57876,0.56628,0.12568
2,31,False,10,17.5,0.92195,0.34734,0.10258
4,3,True,16,21.1,1.04403,0.32118,0.06576
4,3,False,8,12.4,1.2,0.2822,0.07499
4,7,True,24,44.0,2.0,0.73018,0.17426
4,7,False,12,23.8,1.249,0.37478,0.10041
4,15,True,32,74.2,4.28486,1.40889,0.37461
4,15,False,16,39.1,0.83066,0.84573,0.46117
4,31,True,40,115.4,6.84398,3.08532,0.83465
4,31,False,20,55.3,2.2383,1.014,0.2185
8,3,True,32,60.2,3.78946,0.8784,0.31216
8,3,False,16,39.1,0.83066,0.56674,0.12268
8,7,True,48,132.0,5.81378,4.53123,1.11621
8,7,False,24,82.0,2.14476,2.50737,0.68956
8,15,True,64,242.2,13.03687,11.59281,3.30657
8,15,False,32,137.2,6.36867,6.31014,2.33204
8,31,True,80,382.9,22.66032,23.80235,8.1205
8,31,False,40,212.3,9.96042,10.18063,4.43044
16,3,True,64,196.8,9.3787,6.64212,3.07426
16,3,False,32,137.2,6.36867,6.09113,2.43985
16,7,True,96,446.3,24.96017,44.26283,9.92339
16,7,False,48,305.5,10.17104,18.2012,7.37627
16,15,True,128,804.5,44.32437,91.52342,33.03783
16,15,False,64,525.9,42.94287,53.98275,30.03977
16,31,True,160,1305.1,65.49878,236.5197,74.78995
16,31,False,80,821.0,46.00217,98.76718,44.80879
32,3,True,128,660.1,39.60922,50.33884,17.23174
32,3,False,64,525.9,42.94287,53.38353,30.60941
32,7,True,192,1696.6,118.69642,312.61908,163.8286
32,7,False,96,1156.7,88.55399,181.03755,134.21067
32,15,True,256,3236.9,232.4618,501.75269,157.10325
32,15,False,128,2116.6,149.54076,427.7798,215.7185
32,31,False,160,3106.4,300.00473,700.86712,221.98519
64,3,True,256,2897.3,194.959,566.66855,169.94248
64,3,False,128,2116.6,149.54076,434.17608,224.47268
