Num elems,elements
42,"[317, 547, 739, 859, 937, 1061, 1109, 1297, 1637, 1699, 1709, 1777, 1831, 1901, 2063, 2441, 2579, 2789, 2963, 3061, 3347, 3607, 3853, 3917, 4397, 4787, 4789, 4903, 4993, 4999, 5011, 5099, 5437, 5501, 5591, 5867, 6673, 6703, 7109, 7351, 7457, 7817]"
28,"[19, 179, 389, 419, 503, 607, 701, 881, 1171, 1453, 1459, 1657, 1979, 2851, 2879, 3037, 3919, 4079, 4813, 5107, 5851, 5987, 6043, 6451, 6841, 6947, 7417, 7789]"
27,"[97, 467, 659, 733, 787, 1549, 1597, 1609, 1741, 1907, 2207, 3307, 3433, 3511, 3701, 3889, 4153, 4679, 5021, 5179, 6007, 6091, 6737, 7027, 7103, 7129, 7243]"
21,"[79, 269, 373, 397, 683, 761, 1367, 1721, 1973, 2143, 2557, 2917, 3041, 3181, 3323, 4073, 4447, 4507, 6131, 6577, 6899]"
18,"[53, 337, 743, 947, 1181, 2137, 2693, 2837, 3931, 3967, 4027, 4517, 5683, 6199, 6317, 6833, 7307, 7699]"
18,"[463, 571, 587, 641, 1531, 1601, 2081, 2179, 2269, 3229, 3491, 3709, 3943, 4261, 5939, 6361, 7829, 7907]"
17,"[827, 967, 1187, 1237, 2243, 2713, 2749, 3203, 3301, 4139, 5273, 5303, 5827, 6967, 7523, 7547, 7573]"
16,"[293, 307, 863, 997, 1447, 2617, 3251, 3617, 3769, 3797, 4133, 4877, 6163, 6599, 7211, 7639]"
15,"[353, 823, 887, 1307, 1471, 2087, 2351, 3571, 3727, 3793, 4391, 5483, 6311, 6761, 7529]"
11,"[2111, 3167, 3371, 4229, 4357, 4591, 4793, 5393, 6217, 7247, 7823]"
10,"[103, 1409, 3067, 4007, 4241, 4373, 4549, 5399, 6329, 7477]"
10,"[2, 541, 1933, 3257, 4649, 4723, 4909, 5903, 6337, 7723]"
10,"[151, 1283, 1993, 1999, 2543, 3517, 4211, 5153, 6133, 6781]"
10,"[29, 1483, 1823, 2393, 2591, 3533, 3643, 4637, 7253, 7507]"
10,"[1787, 2683, 2731, 3259, 4091, 4273, 6547, 6779, 6793, 7487]"
9,"[457, 1151, 2309, 2903, 3221, 5227, 5261, 7753, 7841]"
9,"[941, 2267, 4057, 5323, 5557, 6679, 6857, 7451, 7537]"
9,"[3, 1201, 1289, 5693, 5843, 6263, 6299, 6397, 7331]"
9,"[163, 227, 1619, 2213, 2389, 2729, 3583, 3761, 6037]"
9,"[157, 251, 1559, 5237, 6113, 7127, 7309, 7589, 7687]"
9,"[677, 3389, 3719, 3877, 6203, 6473, 6709, 7369, 7489]"
9,"[107, 443, 617, 2287, 2677, 4013, 4363, 4871, 5623]"
9,"[101, 131, 167, 2341, 2459, 2663, 4937, 6689, 7607]"
7,"[613, 631, 3739, 4253, 5869, 7853, 7901]"
7,"[619, 1879, 2333, 4099, 4463, 6211, 6271]"
7,"[1613, 2423, 3529, 3881, 5113, 5441, 6389]"
6,"[127, 401, 1093, 1423, 3163, 6661]"
6,"[347, 1231, 1567, 6229, 6521, 7079]"
6,"[853, 2347, 2549, 4523, 4673, 7673]"
6,"[1489, 2099, 3083, 4957, 5531, 7229]"
6,"[241, 2659, 3023, 6301, 6491, 7517]"
6,"[137, 1091, 1669, 2381, 5101, 7069]"
6,"[229, 449, 719, 1399, 2699, 2843]"
6,"[1753, 1951, 2503, 3469, 5279, 5521]"
6,"[2039, 3923, 4201, 4243, 4729, 7577]"
5,"[331, 2161, 3109, 5807, 7877]"
5,"[2129, 3581, 6569, 6637, 7541]"
5,"[2203, 6151, 6607, 6971, 7349]"
5,"[673, 1429, 1511, 2671, 6047]"
5,"[1697, 2089, 2311, 3271, 6551]"
5,"[139, 839, 4127, 5779, 6691]"
5,"[311, 1217, 2011, 4721, 4987]"
5,"[4951, 5657, 6359, 6959, 7549]"
5,"[211, 1163, 1303, 3559, 6481]"
5,"[193, 857, 3121, 5659, 7879]"
5,"[1361, 1493, 4051, 5051, 5749]"
5,"[31, 2689, 5347, 5573, 6367]"
5,"[1087, 1583, 1877, 4651, 4943]"
5,"[577, 593, 1667, 2531, 4093]"
4,"[1801, 4457, 5443, 6917]"
4,"[971, 4129, 5419, 6373]"
4,"[13, 1789, 3119, 3391]"
4,"[599, 883, 1301, 4621]"
4,"[1153, 3329, 5471, 7219]"
4,"[461, 1997, 2237, 5813]"
4,"[11, 197, 919, 7193]"
4,"[191, 509, 3011, 7499]"
4,"[2239, 3359, 3467, 7757]"
4,"[233, 2707, 5417, 6469]"
4,"[277, 557, 991, 2633]"
3,"[3191, 5711, 6353]"
3,"[1427, 3319, 5581]"
3,"[2833, 4889, 5879]"
3,"[2909, 3209, 7883]"
3,"[1319, 2003, 7681]"
3,"[1321, 7459, 7669]"
3,"[3659, 4969, 7057]"
3,"[2339, 3833, 6659]"
3,"[2411, 4493, 5003]"
3,"[1873, 5449, 7603]"
3,"[3449, 4799, 5407]"
3,"[3187, 3331, 6869]"
3,"[3299, 5189, 7433]"
3,"[2053, 2371, 3557]"
3,"[3823, 6143, 6619]"
3,"[1931, 3779, 5309]"
3,"[2017, 2027, 3929]"
3,"[1009, 1621, 4409]"
3,"[487, 6581, 6863]"
3,"[829, 3089, 7213]"
3,"[433, 4441, 6529]"
3,"[283, 1889, 4547]"
3,"[491, 5479, 7717]"
3,"[281, 751, 6949]"
3,"[563, 1013, 7393]"
3,"[2753, 3001, 6247]"
3,"[811, 5197, 6763]"
3,"[71, 3137, 6961]"
3,"[5839, 5881, 7159]"
3,"[367, 5431, 7793]"
3,"[911, 5527, 7559]"
3,"[4561, 5569, 5953]"
3,"[1033, 2593, 6991]"
3,"[4219, 4733, 7013]"
3,"[1063, 2819, 5233]"
2,"[5857, 6701]"
2,"[2897, 3539]"
2,"[5861, 7333]"
2,"[2939, 5647]"
2,"[2803, 5821]"
2,"[2971, 6323]"
2,"[4861, 7867]"
2,"[2999, 3673]"
2,"[2927, 6427]"
2,"[4019, 7237]"
2,"[4783, 6653]"
2,"[5927, 6197]"
2,"[6221, 7727]"
2,"[3733, 4297]"
2,"[4691, 4831]"
2,"[3217, 5651]"
2,"[4603, 6073]"
2,"[6269, 7121]"
2,"[6379, 7649]"
2,"[3613, 6977]"
2,"[4349, 4931]"
2,"[3671, 4451]"
2,"[2797, 2953]"
2,"[1249, 7321]"
2,"[2711, 5119]"
2,"[1213, 3169]"
2,"[1039, 4519]"
2,"[1031, 1783]"
2,"[983, 2777]"
2,"[821, 6983]"
2,"[521, 4271]"
2,"[383, 4339]"
2,"[349, 7919]"
2,"[263, 5351]"
2,"[239, 5009]"
2,"[173, 2687]"
2,"[113, 257]"
2,"[61, 5783]"
2,"[47, 4817]"
2,"[43, 1871]"
2,"[37, 3373]"
2,"[1069, 5381]"
2,"[1259, 4751]"
2,"[2657, 5333]"
2,"[1327, 7297]"
2,"[2647, 4643]"
2,"[2609, 4567]"
2,"[2539, 5801]"
2,"[2417, 3407]"
2,"[2377, 7561]"
2,"[2251, 5387]"
2,"[2221, 2801]"
2,"[2141, 5167]"
2,"[2113, 3079]"
2,"[1861, 3863]"
2,"[1847, 2887]"
2,"[1747, 5297]"
2,"[1627, 4259]"
2,"[1451, 4283]"
2,"[1373, 6803]"
2,"[6791, 7643]"
